,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Dubrovytsya,67,UA,1579966674,83,51.57,26.57,32.86,9.62
375,Egvekinot,100,RU,1579966662,95,66.32,-179.17,-4.0,0.89
376,Helsingborg,0,SE,1579966666,89,56.05,12.69,45.0,5.01
377,At-Bashi,53,KG,1579966675,70,41.17,75.81,-1.68,4.34
378,Zheleznodorozhnyy,98,RU,1579966675,61,55.75,38.0,35.01,3.0
379,Churapcha,0,RU,1579966675,98,62.0,132.43,-42.88,3.62
380,Bacolod City,72,PH,1579966675,82,10.67,122.95,76.17,3.0
381,Ardesen,16,TR,1579966675,58,41.19,40.99,31.41,4.56
382,San Cristobal,46,VE,1579966675,74,7.77,-72.22,64.45,2.17
383,Tarbagatay,100,RU,1579966676,86,51.48,107.36,1.74,1.88
384,Brewster,90,US,1579966676,93,41.4,-73.62,43.0,11.41
385,Lata,1,PT,1579966676,75,40.16,-8.33,60.01,5.01
386,Port Lincoln,1,AU,1579966676,88,-34.73,135.87,64.74,5.7
387,Abasar,29,HU,1579966676,91,47.8,20.0,30.99,1.9
388,Kaohsiung,99,TW,1579966676,97,22.62,120.31,70.0,1.99
389,Madimba,90,TZ,1579966677,100,-10.4,40.33,75.2,8.05
390,Paramonga,100,PE,1579966677,83,-10.67,-77.83,73.13,8.12
391,Olinda,59,BR,1579966677,56,-8.01,-34.86,88.95,9.95
392,Outjo,73,NA,1579966677,21,-20.12,16.15,89.73,6.6
393,Tarko-Sale,92,RU,1579966677,84,64.92,77.78,-2.0,7.87
394,Hamilton,90,US,1579966564,93,39.18,-84.53,37.0,9.17
395,Matagami,100,CA,1579966677,95,49.75,-77.63,28.56,8.37
396,Soanierana Ivongo,75,MG,1579966678,78,-16.92,49.58,80.6,11.41
397,Sciacca,96,IT,1579966678,88,37.51,13.09,57.0,7.0
398,Serov,66,RU,1579966678,95,59.6,60.58,5.27,5.1
399,Samarkand,100,UZ,1579966643,98,39.65,66.96,32.04,4.52
400,Bandarbeyla,59,SO,1579966678,85,9.49,50.81,78.64,19.01
401,Querfurt,0,DE,1579966678,80,51.38,11.6,33.01,1.99
402,Laguna,90,US,1579966679,93,38.42,-121.42,52.0,4.54
403,Mercedes,0,AR,1579966679,42,-34.65,-59.43,95.0,4.0
404,Monte Patria,0,CL,1579966523,37,-30.69,-70.95,81.16,7.16
405,Fernley,75,US,1579966739,74,39.61,-119.25,37.99,4.7
406,Boa Vista,35,BR,1579966739,40,2.82,-60.67,92.12,14.99
407,Havelock,61,US,1579966555,84,34.88,-76.9,61.0,5.99
408,Kayes,63,ML,1579966740,4,14.0,-11.0,99.59,10.25
409,Botou,0,CN,1579966740,36,38.07,116.57,33.96,3.94
410,Haines Junction,97,CA,1579966740,98,60.75,-137.51,-16.1,5.37
411,Saint George,1,US,1579966595,80,37.1,-113.58,39.0,3.36
412,Khakhea,68,BW,1579966740,33,-24.69,23.49,88.59,8.95
413,Abdanan,91,IR,1579966740,86,32.99,47.42,37.8,8.57
414,Fuente de Oro,100,CO,1579966740,52,3.46,-73.61,86.52,4.85
415,Teguise,20,ES,1579966741,35,29.06,-13.56,71.6,11.41
416,Dunda,100,TZ,1579966741,96,-8.12,34.25,69.22,2.57
417,San Jeronimo,100,PE,1579966741,86,-11.95,-75.28,46.11,3.42
418,Christchurch,95,NZ,1579966741,98,-43.53,172.63,62.01,5.01
419,Corbita,0,RO,1579966742,48,46.15,27.3,41.0,1.99
420,Avanuorri,100,NO,1579966742,76,71.0,24.66,19.02,19.44
421,Phuket,64,TH,1579966742,67,8.0,98.25,81.63,4.76
422,San Jose,90,US,1579966620,100,37.34,-121.89,55.0,0.63
423,Kargil,100,IN,1579966742,96,34.57,76.1,1.92,1.83
424,Mossamedes,40,AO,1579966743,69,-15.2,12.15,82.4,12.75
425,Kropotkin,97,RU,1579966743,70,45.44,40.58,41.0,22.57
426,Qinhuangdao,0,CN,1579966743,62,39.93,119.59,25.83,2.44
427,Tiznit,38,MA,1579966743,56,29.58,-9.5,56.26,12.8
428,West Bay,39,KY,1579966743,54,19.37,-81.42,81.0,5.01
429,Suntar,100,RU,1579966744,97,62.14,117.63,-4.77,4.68
430,Tumarbong,34,PH,1579966744,98,10.38,119.46,74.16,1.32
431,Viedma,0,AR,1579966744,38,-40.81,-63.0,73.42,14.54
432,Dowa,20,MW,1579966744,51,-13.65,33.94,80.6,6.93
433,Avallon,1,FR,1579966744,65,47.48,3.9,53.01,2.26
434,Port Hedland,0,AU,1579966457,64,-20.32,118.57,87.28,14.41
435,Sabang,79,ID,1579966745,66,5.89,95.32,82.76,8.61
436,Trenggalek,34,ID,1579966745,89,-8.05,111.72,75.2,3.22
437,Jalu,74,LY,1579966745,34,29.03,21.55,62.71,8.63
438,Abalak,99,RU,1579966745,95,58.13,68.59,3.67,7.05
439,Corning,100,US,1579966723,93,42.14,-77.05,36.0,1.01
440,Tuy Hoa,92,VN,1579966745,83,13.08,109.3,76.62,7.9
441,Paka,91,MY,1579966746,94,4.64,103.44,73.0,2.51
442,Bendigo,0,AU,1579966746,47,-36.77,144.28,64.0,3.69
443,Paracuru,0,BR,1579966746,72,-3.41,-39.03,86.0,21.0
444,Aban,100,RU,1579966746,74,56.67,96.06,27.95,15.26
445,Severo-Kuril'sk,100,RU,1579966746,90,50.68,156.12,16.0,48.23
446,Kushmurun,100,KZ,1579966746,92,52.45,64.63,13.82,21.47
447,Oranjestad,82,AW,1579966728,75,12.52,-70.03,79.39,9.82
448,Boyolangu,10,ID,1579966807,91,-8.12,111.89,75.54,1.14
449,Cleveland,100,US,1579966201,91,41.5,-81.7,39.0,1.99
450,Oussouye,100,SN,1579966817,10,12.48,-16.55,103.77,7.65
451,Solnechnyy,1,RU,1579966817,76,50.72,136.63,-13.04,3.4
452,Wad Rawah,0,SD,1579966817,10,15.16,33.14,78.44,15.01
453,Sistranda,100,NO,1579966621,90,63.73,8.83,35.38,8.1
454,Znamenskoye,100,RU,1579966828,93,57.13,73.83,7.7,9.31
455,Fare,56,PF,1579966626,74,-16.7,-151.02,81.55,10.31
456,Asosa,12,ET,1579966828,21,10.07,34.53,84.49,6.4
457,Worpswede,100,DE,1579966831,97,53.22,8.93,37.99,3.0
458,Sembe,88,CG,1579966832,10,1.65,14.58,95.77,3.6
459,Tongzi,10,CN,1579966833,76,28.78,105.09,45.59,1.68
460,Koulikoro,100,ML,1579966833,4,14.0,-7.75,97.0,12.84
461,Makubetsu,100,JP,1579966833,69,45.37,141.82,14.27,18.63
462,Isla Mujeres,41,MX,1579966833,78,21.23,-86.73,75.0,8.99
463,Juneau,94,US,1579966621,87,58.3,-134.42,33.01,6.91
464,Corrente,8,BR,1579966834,44,-3.74,-43.34,92.21,6.04
465,Hanyang,0,CN,1579966834,75,32.14,105.51,39.85,1.25
466,Vung Tau,32,VN,1579966706,89,10.35,107.08,75.22,9.6
467,Sept-Iles,0,CA,1579966575,83,50.2,-66.38,10.0,2.75
468,Atambua,100,ID,1579966683,84,-9.11,124.89,76.68,2.53
469,Soe,100,ID,1579966834,86,-9.86,124.28,76.82,3.96
470,Sechura,100,PE,1579966835,85,-5.56,-80.82,73.67,5.75
471,Andros,0,GR,1579966835,64,37.83,24.93,55.99,9.75
472,Ponta Pora,20,BR,1579966835,48,-22.54,-55.73,84.2,4.7
473,Sinnamary,94,GF,1579966660,83,5.38,-52.95,79.72,16.08
474,Cherskiy,100,RU,1579966836,95,68.75,161.3,-26.28,1.03
475,Mweka,100,CD,1579966837,37,-4.85,21.57,91.51,2.42
476,Chihuahua,100,MX,1579966837,53,28.5,-106.0,54.0,1.01
477,Todos Santos,98,MX,1579966837,75,23.45,-110.22,64.99,2.62
478,Belgrade,87,RS,1579966569,50,44.8,20.47,42.91,4.76
479,Faya,0,SA,1579966838,70,18.39,42.45,54.34,12.19
480,Jiangyou,89,CN,1579966622,89,31.77,104.72,32.11,2.71
481,Almansa,100,ES,1579966838,81,38.87,-1.1,55.0,1.99
482,OErnskoeldsvik,91,SE,1579966838,81,63.29,18.72,27.23,8.61
483,Caceres,42,ES,1579966838,83,39.52,-6.37,52.0,1.99
484,Katherine,100,AU,1579966839,90,-14.47,132.27,78.4,6.02
485,Tinskoy,100,RU,1579966839,71,56.15,96.92,29.35,10.49
486,Te Anau,100,NZ,1579966560,79,-45.42,167.72,54.12,5.21
487,Ayagoz,100,KZ,1579966839,95,47.97,80.44,27.27,19.17
488,Durango,100,MX,1579966839,59,24.83,-104.83,50.32,3.87
489,Calabozo,80,VE,1579966837,37,8.92,-67.43,89.06,7.74
490,Barcelona,99,ES,1579966748,61,41.39,2.16,57.99,3.22
491,Marystown,3,CA,1579966900,66,47.17,-55.15,23.68,7.96
492,Namie,100,JP,1579966900,45,37.48,141.0,39.0,1.01
493,Killam,71,CA,1579966900,86,52.78,-111.85,19.0,1.01
494,Lahaina,0,US,1579966641,75,20.88,-156.68,70.0,5.01
495,Neepawa,75,CA,1579966901,84,50.23,-99.47,3.2,3.36
496,Gravelbourg,0,CA,1579966901,85,49.88,-106.55,26.64,10.33
497,Pacific Grove,90,US,1579966901,100,36.62,-121.92,53.01,11.41
498,Noumea,100,NC,1579966901,96,-22.28,166.46,79.0,21.27
499,Vaitape,22,PF,1579966901,76,-16.52,-151.75,81.66,12.24
500,Ramshir,100,IR,1579966902,71,30.89,49.41,54.55,13.56
501,Sioux Lookout,100,CA,1579966902,97,50.1,-91.92,21.67,1.34
502,San Ignacio,10,BZ,1579966902,97,17.16,-89.07,71.01,2.24
503,Pundaguitan,0,PH,1579966902,81,6.37,126.17,79.84,3.8
504,Hobyo,68,SO,1579966902,75,5.35,48.53,80.53,19.82
505,Voznesenye,100,RU,1579966903,90,61.01,35.48,29.07,15.75
506,Tignere,9,CM,1579966903,8,7.37,12.65,87.58,6.4
507,Santa Cruz de la Sierra,54,BO,1579966903,23,-17.8,-63.17,101.01,2.91
508,Tumut,0,AU,1579966903,39,-35.3,148.22,62.98,3.89
509,Caraballeda,99,VE,1579966904,34,10.61,-66.85,80.01,2.21
510,Mahibadhoo,93,MV,1579966904,79,3.78,72.97,81.82,14.61
511,Xingyi,71,CN,1579966904,92,24.19,102.82,39.02,5.79
512,Carutapera,35,BR,1579966904,79,-1.2,-46.02,82.44,10.31
513,Belawan,45,ID,1579966904,77,3.78,98.68,78.94,3.53
514,Virginia Beach,90,US,1579966904,100,36.85,-75.98,57.0,4.7
515,Nam Som,42,TH,1579966904,65,17.77,102.19,71.6,2.01
516,Saint-Leu,75,RE,1579966905,83,-21.15,55.28,77.0,20.8
517,Honiara,61,SB,1579966905,83,-9.43,159.95,72.99,3.69
518,Turan,98,VN,1579966714,96,16.07,108.22,69.1,0.58
519,Fukuecho,100,JP,1579966905,91,32.69,128.84,51.75,22.75
520,Lethem,71,GY,1579966905,39,3.38,-59.8,91.58,14.14
521,Roald,100,NO,1579966906,80,62.58,6.13,46.0,17.0
522,Sola,1,VU,1579966906,80,-13.88,167.55,81.61,13.29
523,Cockburn Town,92,TC,1579966906,62,21.46,-71.14,76.03,5.97
524,Teseney,0,ER,1579966906,16,15.11,36.66,80.44,11.45
525,Imbituba,0,BR,1579966907,71,-28.24,-48.67,73.04,5.44
526,Gillingham,66,GB,1579966907,84,51.39,0.55,45.0,1.01
527,Celestun,0,MX,1579966907,81,20.87,-90.4,70.02,10.18
528,Yerbogachen,97,RU,1579966907,96,61.28,108.01,10.4,4.41
529,Hirara,100,JP,1579966907,85,24.8,125.28,73.09,9.75
530,Saiha,0,IN,1579966908,63,22.48,92.97,48.74,2.68
531,Ballia,0,IN,1579966908,75,25.76,84.15,55.13,4.47
532,Tutoia,0,BR,1579966908,55,-2.76,-42.27,90.46,7.02
533,Chancay,98,PE,1579966968,87,-11.57,-77.27,72.25,8.23
534,Tomatlan,100,MX,1579966968,87,19.93,-105.25,68.05,2.66
